序号,基金代码,基金简称,类型,日期,单位净值,累计净值,近1周,近1月,近3月,近6月,近1年,近2年,近3年,今年来,成立来,成立日期
145,562930,易方达中证软件服务ETF,指数型-股票,2025-03-14,0.9315,,-2.86,-2.56,10.0,87.84,33.03,,,19.13,-6.85,2023-05-22
146,516700,华宝大数据ETF,指数型-股票,2025-03-13,1.0494,1.0494,-5.13,3.98,15.7,83.37,33.0,3.33,15.94,19.16,4.94,2021-05-11
147,516310,易方达中证银行ETF,指数型-股票,2025-03-13,1.2321,1.2321,0.25,0.2,6.44,26.69,32.67,45.54,38.05,1.48,23.21,2021-05-20
148,159680,招商中证1000增强策略ETF,指数型-股票,2025-03-14,1.2459,1.2459,1.18,4.68,4.26,55.0,32.6,18.89,,11.31,24.58,2022-11-18
149,515320,华安中证电子50ETF,指数型-股票,2025-03-13,0.873,0.873,-4.45,-0.33,6.44,48.22,32.51,24.43,0.92,3.82,-12.7,2020-11-25
150,512720,国泰中证计算机ETF,指数型-股票,2025-03-14,1.2168,1.3128,-1.84,-0.39,11.59,81.4,32.15,5.19,17.2,16.12,33.93,2019-07-11
151,512820,汇添富中证银行ETF,指数型-股票,2025-03-13,1.32,1.516,0.23,0.14,6.22,26.42,32.03,43.19,33.89,1.37,52.77,2018-10-23
152,515290,天弘中证银行ETF,指数型-股票,2025-03-13,1.3423,1.3423,0.23,0.16,6.35,26.44,31.96,43.56,34.62,1.41,34.23,2020-12-11
153,588000,华夏上证科创板50成份ETF,指数型-股票,2025-03-13,1.1256,0.7817,-4.72,4.81,8.11,64.15,31.83,8.29,-6.94,7.93,-21.83,2020-09-28
154,515020,华夏中证银行ETF,指数型-股票,2025-03-13,1.5883,1.5883,0.23,0.16,6.32,26.27,31.81,44.5,36.49,1.39,58.83,2019-10-24
155,512700,南方中证银行ETF,指数型-股票,2025-03-13,1.5161,1.6831,0.22,0.15,6.29,26.29,31.72,43.1,34.22,1.36,75.89,2017-06-28
156,510650,上证金融地产发起式ETF,指数型-股票,2025-03-14,2.7608,2.7608,-0.69,0.31,1.98,26.38,31.67,38.8,34.4,-0.19,169.64,2013-03-28
157,588370,南方上证科创板50成份增强策略ETF,指数型-股票,2025-03-13,1.0587,1.0587,-3.81,4.46,7.84,61.86,31.6,6.72,,8.86,5.87,2022-12-01
158,588020,易方达上证科创板成长ETF,指数型-股票,2025-03-13,1.1925,1.1925,-5.43,4.08,7.87,58.94,31.48,,,9.5,19.25,2023-08-23
159,588080,易方达上证科创板50成份ETF,指数型-股票,2025-03-13,1.0946,0.7669,-4.73,5.07,7.97,63.11,31.25,7.33,-8.42,8.03,-23.31,2020-09-28
