序号,基金代码,基金简称,类型,日期,单位净值,累计净值,近1周,近1月,近3月,近6月,近1年,近2年,近3年,今年来,成立来,成立日期
161,159834,金ETF,指数型-其他,2025-03-12,6.807,1.6618,-0.32,-0.18,7.82,17.83,33.35,60.04,66.7,10.09,66.18,2022-03-03
162,588090,华泰柏瑞上证科创板50成份ETF,指数型-股票,2025-03-12,1.1255,0.7859,0.82,4.89,7.89,65.2,33.34,9.84,-6.61,10.36,-21.41,2020-09-28
163,588050,工银上证科创50成份ETF,指数型-股票,2025-03-12,1.1227,0.7824,0.81,4.87,7.96,64.98,33.32,10.03,-6.29,10.35,-21.76,2020-09-28
164,518890,中银上海金ETF,指数型-其他,2025-03-12,6.5449,1.5749,-0.32,-0.2,7.82,17.83,33.26,59.5,63.41,10.09,57.36,2020-08-28
165,588280,华安上证科创板50ETF,指数型-股票,2025-03-12,0.7883,0.7883,0.81,4.91,7.96,64.81,33.25,9.76,-7.24,10.38,-21.17,2021-10-12
166,513920,华安恒生港股通中国央企红利ETF,指数型-股票,2025-03-12,1.3855,1.4025,1.17,3.93,5.75,29.35,33.21,,,4.13,40.39,2023-12-20
167,159831,嘉实上海金ETF,指数型-其他,2025-03-12,6.5965,1.6592,-0.32,-0.19,7.73,17.73,33.18,59.42,,10.08,65.92,2022-03-23
168,518600,广发上海金ETF,指数型-其他,2025-03-12,6.4258,1.5739,-0.32,-0.19,7.81,17.83,33.14,58.51,61.93,10.1,57.39,2020-07-08
169,562930,易方达中证软件服务ETF,指数型-股票,2025-03-12,0.9329,0.9329,1.06,-0.15,7.24,85.98,33.04,,,19.31,-6.71,2023-05-22
170,159532,易方达中证2000ETF,指数型-股票,2025-03-12,1.2328,1.2328,2.99,5.63,1.54,56.27,32.79,,,13.53,23.28,2023-09-13
171,562500,华夏中证机器人ETF,指数型-股票,2025-03-12,0.9869,0.9869,1.87,7.83,15.37,76.83,32.45,25.56,23.7,27.0,-1.33,2021-12-17
172,159680,招商中证1000增强策略ETF,指数型-股票,2025-03-12,1.2458,1.2458,2.53,4.22,2.17,53.52,32.33,18.24,,11.3,24.57,2022-11-18
173,159530,易方达国证机器人产业ETF,指数型-股票,2025-03-12,1.4515,1.4515,2.32,8.41,16.01,77.01,31.82,,,25.12,45.15,2024-01-10
174,515920,博时智能消费ETF,指数型-股票,2025-03-12,0.929,0.929,0.47,-0.83,6.86,47.04,31.7,27.87,17.55,7.64,-7.1,2020-12-30
175,159551,国泰中证机器人ETF,指数型-股票,2025-03-12,1.2748,1.2748,1.89,7.73,15.0,74.82,31.68,,,26.41,27.48,2023-11-08
176,159667,国泰中证机床ETF,指数型-股票,2025-03-12,1.2083,1.2083,3.47,9.54,12.46,63.35,31.24,24.85,,19.88,20.83,2022-10-12
177,159559,景顺长城国证机器人产业ETF,指数型-股票,2025-03-12,1.3133,1.3133,2.27,8.37,15.95,77.14,31.17,,,24.99,31.33,2023-11-30
178,562360,银华中证机器人ETF,指数型-股票,2025-03-12,1.0703,1.0703,1.84,7.78,15.07,74.89,31.16,22.59,20.37,26.62,7.03,2021-09-22
179,512720,国泰中证计算机ETF,指数型-股票,2025-03-12,1.2197,1.3157,1.68,1.68,9.1,79.76,31.09,8.92,13.87,16.39,34.25,2019-07-11
180,516310,易方达中证银行ETF,指数型-股票,2025-03-12,1.2254,1.2254,-0.84,-0.28,3.72,25.63,30.93,45.12,37.3,0.93,22.54,2021-05-20
181,159998,天弘中证计算机ETF,指数型-股票,2025-03-12,1.0233,1.0233,1.68,1.67,9.02,79.65,30.89,8.94,13.32,16.31,2.32,2020-03-20
182,560280,广发中证工程机械主题ETF,指数型-股票,2025-03-12,1.4015,1.4015,1.28,12.72,13.97,42.54,30.87,,,18.58,40.15,2023-10-18
183,563200,富国中证2000ETF,指数型-股票,2025-03-12,1.187,1.187,3.19,5.72,1.51,52.51,30.83,,,13.87,18.64,2023-09-28
184,562920,易方达中证信息安全主题ETF,指数型-股票,2025-03-12,1.0629,1.0629,2.11,3.45,8.24,73.85,30.45,,,17.66,6.29,2023-05-31
185,159613,嘉实中证信息安全主题ETF,指数型-股票,2025-03-12,1.0009,1.0009,2.12,3.52,8.44,74.59,30.27,10.77,14.4,17.85,0.09,2022-01-19
186,512820,汇添富中证银行ETF,指数型-股票,2025-03-12,1.3128,1.5088,-0.87,-0.33,3.52,25.35,30.23,42.77,33.16,0.81,51.94,2018-10-23
187,159811,博时中证5G产业50ETF,指数型-股票,2025-03-12,1.3195,1.3195,-0.02,-2.14,9.22,42.48,30.23,37.25,28.61,5.82,32.02,2020-03-27
188,515290,天弘中证银行ETF,指数型-股票,2025-03-12,1.335,1.335,-0.86,-0.32,3.64,25.38,30.18,43.15,33.89,0.85,33.5,2020-12-11
189,159536,汇添富中证2000ETF,指数型-股票,2025-03-12,1.1805,1.1805,3.44,6.5,2.44,59.16,30.07,,,14.36,18.05,2023-09-13
190,515020,华夏中证银行ETF,指数型-股票,2025-03-12,1.5797,1.5797,-0.86,-0.31,3.63,25.21,30.05,44.08,35.75,0.84,57.97,2019-10-24
191,159715,易方达中证稀土产业ETF,指数型-股票,2025-03-12,0.7547,0.7547,4.07,4.91,5.08,48.71,29.96,3.94,-4.19,13.56,-24.53,2021-09-01
192,512700,南方中证银行ETF,指数型-股票,2025-03-12,1.5079,1.6749,-0.87,-0.33,3.59,25.23,29.93,42.69,33.5,0.82,74.94,2017-06-28
193,512800,华宝中证银行ETF,指数型-股票,2025-03-12,1.4957,1.4957,-0.88,-0.37,3.52,24.89,29.72,42.38,32.9,0.75,48.89,2017-07-18
194,159663,华夏中证机床ETF,指数型-股票,2025-03-12,1.2018,1.2018,3.43,9.58,12.01,61.55,29.67,21.84,,19.55,20.18,2022-10-12
195,560220,广发中证2000ETF,指数型-股票,2025-03-12,1.2076,1.2076,2.66,4.57,1.49,55.98,29.67,,,13.28,20.75,2023-09-08
196,159679,国泰中证1000增强策略ETF,指数型-股票,2025-03-12,1.0673,1.0673,3.2,5.12,3.25,48.79,29.53,9.15,,11.61,6.73,2023-02-09
197,510650,上证金融地产发起式ETF,指数型-股票,2025-03-12,2.69,2.69,-0.4,0.06,-0.93,26.13,29.46,39.34,34.08,-0.43,169.0,2013-03-28
198,159822,银华工银南方东英标普中国新经济ETF(QDII),指数型-海外股票,2025-03-11,0.6962,0.6962,5.02,10.72,11.36,32.53,29.38,11.73,16.95,15.36,-30.38,2020-09-29
199,159887,富国中证800银行ETF,指数型-股票,2025-03-12,1.2193,1.2193,-0.87,-0.28,3.76,25.02,29.34,42.29,32.95,0.9,21.93,2021-05-12
200,516210,华安中证银行ETF,指数型-股票,2025-03-12,1.2698,1.2698,-0.86,-0.33,3.51,24.71,29.27,41.32,31.49,0.77,26.98,2021-09-03
201,512730,鹏华中证银行ETF,指数型-股票,2025-03-12,1.5312,1.5312,-0.87,-0.33,3.5,24.5,29.19,41.79,34.47,0.83,53.12,2019-12-19
202,159628,万家国证2000ETF,指数型-股票,2025-03-12,1.1308,1.1308,3.25,5.91,2.52,54.8,29.06,10.2,,13.13,13.08,2022-06-29
203,159713,富国中证稀土产业ETF,指数型-股票,2025-03-12,0.8301,0.8301,4.06,4.85,4.8,48.31,28.98,1.55,-7.57,13.37,-16.92,2021-08-05
204,159804,国寿安保创精选88ETF,指数型-股票,2025-03-12,1.3038,1.3038,3.03,5.98,1.89,57.52,28.96,8.15,4.01,15.08,30.38,2020-03-04
205,159531,南方中证2000ETF,指数型-股票,2025-03-12,1.1513,1.1513,3.0,5.75,0.89,56.6,28.71,,,14.3,15.13,2023-09-07
206,513950,富国恒生港股通高股息低波动ETF(QDII),指数型-海外股票,2025-03-12,1.2354,1.3111,1.83,4.86,4.6,27.14,28.62,,,4.09,33.26,2023-04-19
207,516780,华泰柏瑞中证稀土产业ETF,指数型-股票,2025-03-12,1.119,1.119,4.02,4.82,4.84,47.86,28.46,0.88,-8.07,13.3,11.9,2021-02-26
208,159907,广发国证2000ETF,指数型-股票,2025-03-12,0.8601,1.5629,2.74,3.33,2.93,55.53,28.39,8.65,-0.99,12.14,56.18,2011-06-03
209,159535,嘉实中证2000ETF,指数型-股票,2025-03-12,1.1687,1.1687,2.49,3.99,-0.21,50.03,27.5,,,11.83,16.87,2023-09-14
210,159976,工银粤港澳大湾区创新100ETF,指数型-股票,2025-03-12,1.163,1.163,0.78,3.11,5.14,31.89,27.37,18.63,12.68,7.41,16.3,2019-11-01
211,510230,国泰上证180金融ETF,指数型-股票,2025-03-12,1.2983,2.1475,-0.26,-0.1,-1.44,25.65,27.36,37.59,31.65,-0.64,125.25,2011-03-31
212,561280,工银中证1000增强策略ETF,指数型-股票,2025-03-12,1.1849,1.1849,2.93,5.53,6.06,53.8,27.33,,,13.08,18.49,2023-08-31
213,516150,嘉实中证稀土产业ETF,指数型-股票,2025-03-12,1.1641,1.1641,4.02,4.8,4.56,47.13,27.2,-1.1,-10.38,13.17,16.41,2021-03-09
214,516260,华夏中证物联网主题ETF,指数型-股票,2025-03-12,0.9244,0.9244,-0.36,-0.61,6.82,46.61,27.1,24.82,10.89,7.64,-7.56,2021-07-22
215,159725,工银瑞信中证线上消费ETF,指数型-股票,2025-03-12,0.9035,0.9035,2.29,0.14,2.78,67.75,26.65,21.62,18.87,18.12,-9.66,2021-06-11
216,517000,银华中证沪港深500ETF,指数型-股票,2025-03-12,0.875,0.875,0.55,4.15,6.29,31.64,26.63,17.21,15.07,8.1,-12.5,2021-02-04
217,515750,富国中证科技50策略ETF,指数型-股票,2025-03-12,1.466,1.466,0.61,1.9,7.14,49.49,26.49,14.69,9.66,10.23,46.73,2019-11-15
218,159565,易方达中证汽车零部件主题ETF,指数型-股票,2025-03-12,1.3364,1.3364,1.17,3.37,10.72,47.83,26.46,,,16.09,33.63,2024-02-08
219,517850,汇添富中证沪港深张江自主创新50ETF,指数型-股票,2025-03-13,0.9153,0.9153,-4.92,3.13,10.53,55.45,26.39,-0.48,,11.59,-8.47,2022-04-28
220,561370,国泰中证2000ETF,指数型-股票,2025-03-12,1.1456,1.1456,2.87,5.71,0.83,53.94,26.35,,,14.01,14.56,2023-09-13
221,517100,富国中证沪港深500ETF,指数型-股票,2025-03-12,0.8792,0.8792,0.57,4.39,6.57,32.31,26.34,17.41,15.59,8.62,-12.08,2021-02-09
222,516590,易方达中证智能电动汽车ETF,指数型-股票,2025-03-12,1.0241,1.0241,-0.89,0.76,6.03,38.97,26.15,1.72,-14.53,10.39,2.41,2021-04-29
223,512070,易方达沪深300非银ETF,指数型-股票,2025-03-12,0.7751,2.3253,0.85,-0.97,-10.24,32.47,25.89,25.58,24.02,-4.56,132.53,2014-06-26
224,516110,国泰中证800汽车与零部件ETF,指数型-股票,2025-03-12,1.3154,1.3154,-0.07,-2.65,2.71,28.62,25.8,34.46,33.31,2.97,31.54,2021-04-07
225,516380,华宝智能电动汽车ETF,指数型-股票,2025-03-12,0.8172,0.8172,-0.91,0.65,6.13,38.89,25.8,0.54,-16.73,10.34,-18.3,2021-06-04
226,159933,国投瑞银金融地产ETF,指数型-股票,2025-03-12,2.7565,2.7565,-0.11,-0.53,-3.07,27.09,25.67,28.4,22.6,-1.44,175.65,2013-09-17
227,159512,广发中证全指汽车ETF,指数型-股票,2025-03-12,1.4057,1.4057,-0.23,-3.24,-1.19,33.51,25.62,,,-0.2,40.57,2023-07-13
228,159726,华夏恒生中国内地企业高股息率ETF,指数型-股票,2025-03-12,1.1243,1.1243,1.53,6.02,6.74,29.01,25.58,34.73,19.44,6.05,12.43,2021-11-11
229,159541,万家创业板综合ETF,指数型-股票,2025-03-12,1.2063,1.2063,1.5,2.69,0.15,52.87,25.51,,,9.42,20.63,2023-10-18
230,517080,汇添富中证沪港深500ETF,指数型-股票,2025-03-12,0.8715,0.8715,0.52,4.21,5.92,30.66,25.45,16.37,14.4,7.94,-12.85,2021-02-01
231,560780,广发中证半导体材料设备主题ETF,指数型-股票,2025-03-12,1.1823,1.1823,-0.23,2.71,-0.42,48.68,25.44,,,8.62,18.19,2023-12-01
232,517170,华夏中证沪港深500ETF,指数型-股票,2025-03-12,0.888,0.888,0.52,4.24,5.94,30.93,25.42,15.26,9.74,7.92,-11.2,2021-04-07
233,517010,易方达中证沪港深500ETF,指数型-股票,2025-03-12,0.9761,0.9761,0.54,4.28,5.89,30.58,25.35,16.19,14.28,8.05,-2.39,2021-08-03
234,517770,浦银安盛中证沪港深游戏及文化传媒ETF,指数型-股票,2025-03-12,1.0611,1.0611,5.66,5.93,6.99,48.36,25.35,23.76,27.64,17.74,6.11,2021-11-25
235,588210,易方达上证科创板100ETF,指数型-股票,2025-03-12,1.0233,1.0233,1.24,6.56,9.05,60.49,25.33,,,17.36,2.33,2023-11-08
236,563300,华泰柏瑞中证2000ETF,指数型-股票,2025-03-12,1.1466,1.1466,2.62,4.75,-0.35,53.47,25.31,,,12.89,14.66,2023-09-06
237,159940,广发中证全指金融地产ETF,指数型-股票,2025-03-12,1.1474,1.1474,0.0,-0.98,-4.49,28.83,25.07,26.44,19.32,-1.58,14.74,2015-03-23
238,159872,鹏华中证车联网主题ETF,指数型-股票,2025-03-12,0.9837,0.9837,2.08,-0.16,4.66,48.98,25.01,13.17,8.99,10.84,-1.63,2021-06-16
239,513530,华泰柏瑞中证港股通高股息投资ETF(QDII),指数型-海外股票,2025-03-12,1.4696,1.4696,0.95,2.6,3.35,22.98,24.97,35.52,,1.72,46.92,2022-04-08
240,513630,摩根标普港股通低波红利ETF,指数型-股票,2025-03-12,1.328,1.328,1.1,4.55,4.84,21.12,24.95,,,3.57,32.8,2023-11-23
241,159895,易方达中证物联网主题ETF,指数型-股票,2025-03-12,0.9279,0.9279,-0.34,-0.57,6.77,44.89,24.94,20.19,5.41,7.58,-7.21,2021-10-13
242,159505,博时国证2000ETF,指数型-股票,2025-03-12,1.1416,1.1416,3.11,6.44,4.37,52.46,24.93,,,13.72,14.16,2023-11-23
243,159728,南方国证在线消费ETF,指数型-股票,2025-03-12,0.9215,0.9215,2.5,0.14,4.81,63.76,24.83,18.38,13.85,17.11,-7.85,2021-12-29
244,159701,招商中证物联网主题ETF,指数型-股票,2025-03-12,0.867,0.867,-0.33,-0.54,6.77,45.15,24.73,20.02,6.47,7.62,-13.3,2021-12-15
245,512640,嘉实中证金融地产ETF,指数型-股票,2025-03-12,2.2612,2.2612,-0.04,-0.79,-4.07,27.93,24.72,26.71,20.57,-1.53,127.05,2014-06-20
246,159896,南方中证物联网主题ETF,指数型-股票,2025-03-12,0.8651,0.8651,-0.36,-0.6,6.84,45.3,24.67,20.0,6.33,7.61,-13.49,2021-11-15
247,513310,华泰柏瑞中韩半导体ETF(QDII),指数型-海外股票,2025-03-12,1.5723,1.5723,1.08,-0.25,10.64,40.11,24.65,55.78,,9.84,57.23,2022-11-02
248,159563,华夏创业板综合ETF,指数型-股票,2025-03-12,1.3765,1.3765,1.8,3.71,0.9,49.31,24.58,,,10.46,37.65,2024-02-01
249,159516,国泰中证半导体材料设备主题ETF,指数型-股票,2025-03-12,1.0849,1.0849,-0.32,2.63,-1.18,47.11,24.57,,,8.2,8.49,2023-07-19
250,588880,华泰柏瑞上证科创板100ETF,指数型-股票,2025-03-12,1.0122,1.0122,1.15,6.41,8.7,59.55,24.56,,,17.1,1.22,2023-11-08
251,159716,华宝深创100ETF,指数型-股票,2025-03-13,0.8255,0.8255,-2.6,0.71,4.91,38.81,24.49,10.14,1.53,4.65,-17.45,2021-06-18
252,516730,浦银安盛中证证券公司30ETF,指数型-股票,2025-03-12,1.0059,1.0059,0.78,-0.51,-9.76,39.48,24.45,25.75,18.08,-3.52,0.59,2021-11-04
253,588800,华夏上证科创板100ETF,指数型-股票,2025-03-12,1.0127,1.0127,1.1,6.39,8.59,59.41,24.44,,,16.94,1.27,2023-11-08
254,516300,华泰柏瑞中证1000ETF,指数型-股票,2025-03-12,2.6666,1.1244,2.65,4.42,1.77,49.93,24.37,3.42,1.5,10.65,12.44,2021-03-15
255,159931,汇添富中证金融地产ETF,指数型-股票,2025-03-12,1.7953,1.7953,-0.04,-0.79,-4.09,27.43,24.29,25.47,17.94,-1.54,81.69,2013-08-23
256,159692,证券ETF东财,指数型-股票,2025-03-12,1.223,1.223,0.82,-0.49,-9.59,38.79,24.23,,,-3.34,22.29,2023-05-05
257,588900,南方上证科创板100ETF,指数型-股票,2025-03-12,1.0504,1.0504,1.18,6.42,8.79,59.56,24.15,,,17.13,5.04,2023-12-08
258,159721,永赢深证创新100ETF,指数型-股票,2025-03-12,0.8055,0.8055,0.54,0.36,3.49,38.64,24.06,9.37,0.39,5.64,-19.45,2021-06-17
259,562590,华夏中证半导体材料设备主题ETF,指数型-股票,2025-03-12,1.1398,1.1398,-0.32,2.61,-0.87,46.45,24.04,,,8.38,13.98,2023-10-09
260,562520,华夏中证智选1000成长创新策略ETF,指数型-股票,2025-03-12,1.1195,1.1195,1.87,4.82,7.69,51.35,23.96,3.18,12.38,12.6,11.95,2022-03-08
261,513690,博时恒生高股息ETF,指数型-股票,2025-03-12,0.9349,0.9604,1.97,6.47,5.86,23.79,23.84,24.91,16.03,4.89,-3.57,2021-05-11
262,159836,天弘创业板300ETF,指数型-股票,2025-03-12,0.869,0.869,0.94,1.77,-1.86,50.48,23.84,2.02,-6.77,6.25,-13.1,2021-05-11
263,588030,博时上证科创板100ETF,指数型-股票,2025-03-12,1.0461,1.0461,1.12,6.35,8.67,58.81,23.83,,,16.88,4.61,2023-09-06
264,159778,鹏华中证工业互联网主题ETF,指数型-股票,2025-03-12,0.9137,0.9137,0.24,1.26,10.14,48.45,23.82,11.21,-2.96,11.75,-8.63,2022-01-25
265,516330,华泰柏瑞中证物联网主题ETF,指数型-股票,2025-03-12,1.0738,1.0738,-0.38,-0.68,6.64,43.84,23.77,19.36,6.12,7.39,7.38,2021-03-31
266,159570,汇添富国证港股通创新药ETF,指数型-股票,2025-03-12,1.115,1.115,-0.07,13.97,12.29,29.28,23.75,,,16.36,11.5,2023-12-28
267,159909,招商深证TMT50ETF,指数型-股票,2025-03-12,0.7084,2.1339,0.94,-2.45,2.76,41.31,23.65,16.72,9.0,4.44,113.5,2011-06-27
268,588220,鹏华上证科创板100ETF,指数型-股票,2025-03-12,1.0474,1.0474,1.13,6.32,8.57,58.38,23.62,,,16.81,4.74,2023-09-06
269,159543,工银国证2000ETF,指数型-股票,2025-03-12,1.0803,1.0803,3.16,5.61,2.37,49.01,23.6,,,12.17,8.03,2023-11-09
270,513030,华安德国(DAX)ETF(QDII),指数型-海外股票,2025-03-12,1.6758,1.6758,0.62,6.96,13.97,21.0,23.58,48.04,72.94,17.83,67.58,2014-08-08
271,515050,华夏中证5G通信主题ETF,指数型-股票,2025-03-12,1.1771,1.1771,0.74,-4.35,4.15,36.21,23.58,34.22,19.59,3.2,17.71,2019-09-17
272,159720,泰康中证智能电动汽车ETF,指数型-股票,2025-03-12,0.6865,0.6865,-0.94,0.66,5.62,37.58,23.58,-2.44,-19.34,10.02,-31.35,2021-07-07
273,159993,鹏华国证证券龙头ETF,指数型-股票,2025-03-12,1.184,1.184,0.62,-1.28,-10.14,39.03,23.54,23.41,16.7,-4.26,18.4,2019-12-26
274,588120,国泰上证科创板100ETF,指数型-股票,2025-03-12,1.0485,1.0485,1.1,6.37,8.48,58.72,23.51,,,16.95,4.85,2023-09-06
275,159994,银华中证5G通信主题ETF,指数型-股票,2025-03-12,0.9666,0.9666,0.73,-4.33,4.11,35.93,23.48,33.75,19.29,3.18,-3.34,2020-01-22
276,560590,鹏华中证1000增强ETF,指数型-股票,2025-03-12,1.1859,1.1859,2.51,4.78,2.03,43.83,23.47,,,9.75,18.59,2023-09-01
277,561120,富国中证全指家用电器ETF,指数型-股票,2025-03-12,1.2351,1.2351,1.06,-0.39,0.9,33.58,23.45,32.32,40.56,4.43,23.51,2022-01-25
278,560880,广发中证全指家用电器ETF,指数型-股票,2025-03-12,1.4433,1.4433,1.06,-0.39,0.85,33.6,23.41,31.76,,4.3,44.33,2022-03-30
279,515560,建信中证全指证券公司ETF,指数型-股票,2025-03-12,1.0249,1.0249,0.85,-1.33,-10.5,39.25,23.3,25.85,18.62,-3.89,2.49,2020-06-29
280,515630,鹏华中证800证保ETF,指数型-股票,2025-03-12,1.2638,1.2638,0.83,-1.43,-10.44,32.53,23.24,24.27,21.59,-4.29,26.38,2020-02-28
281,159936,广发中证全指可选消费ETF,指数型-股票,2025-03-12,2.0586,2.0586,0.34,-0.57,1.85,32.57,23.23,22.22,22.99,3.69,105.86,2014-06-03
282,512880,国泰中证全指证券公司ETF,指数型-股票,2025-03-12,1.1219,1.1219,0.84,-1.44,-10.78,39.66,23.23,25.18,17.44,-4.05,12.19,2016-07-26
283,560000,浦银安盛中证智能电动汽车ETF,指数型-股票,2025-03-12,0.7112,0.7112,-0.97,0.64,5.49,36.22,23.22,-2.43,-19.77,9.77,-28.88,2021-09-17
284,516770,华泰柏瑞中证动漫游戏ETF,指数型-股票,2025-03-12,1.2724,1.2724,3.29,0.53,7.37,62.69,23.21,39.81,48.11,23.27,27.24,2021-02-25
285,159918,嘉实中创400ETF,指数型-股票,2025-03-12,2.0053,2.0053,2.48,4.01,2.01,50.66,23.12,5.95,2.76,10.81,100.53,2012-03-22
286,512000,华宝券商ETF,指数型-股票,2025-03-12,1.0724,1.0724,0.87,-1.42,-10.74,39.16,22.9,24.86,17.19,-4.04,7.24,2016-08-30
287,588190,银华上证科创板100ETF,指数型-股票,2025-03-12,1.0416,1.0416,1.11,6.29,8.43,57.75,22.86,,,16.75,4.16,2023-09-06
288,515010,华夏中证全指证券公司ETF,指数型-股票,2025-03-12,1.2802,1.2802,0.87,-1.15,-10.45,38.85,22.77,25.72,18.85,-3.72,28.02,2019-09-17
289,512900,南方中证全指证券公司ETF,指数型-股票,2025-03-12,1.1093,1.1093,0.85,-1.39,-10.76,38.94,22.64,24.58,16.92,-4.0,10.93,2017-03-10
290,159743,博时湖北新旧动能转换ETF,指数型-股票,2025-03-12,0.9493,0.9493,3.29,4.99,0.38,49.87,22.6,10.32,8.48,7.85,-5.07,2021-12-29
291,159757,景顺长城国证新能源车电池ETF,指数型-股票,2025-03-12,0.5953,0.5953,-0.1,3.67,3.93,40.63,22.51,-14.55,-27.82,10.61,-40.47,2021-07-21
292,515850,富国中证全指证券公司ETF,指数型-股票,2025-03-12,1.3692,1.3692,0.86,-1.44,-10.7,38.84,22.5,25.76,18.6,-3.98,36.92,2020-01-21
293,159841,天弘中证全指证券公司ETF,指数型-股票,2025-03-12,1.0169,1.0169,0.84,-1.41,-10.81,38.71,22.47,24.59,17.28,-4.02,1.69,2021-01-28
294,159840,工银瑞信国证新能源车电池ETF,指数型-股票,2025-03-12,0.5779,0.5779,-0.12,3.72,3.83,40.92,22.46,-15.62,-29.19,10.62,-42.21,2021-08-05
295,159567,银华国证港股通创新药ETF,指数型-股票,2025-03-12,1.1107,1.1107,-0.13,13.84,11.77,28.05,22.46,,,16.23,11.07,2024-01-03
296,561590,华泰柏瑞中证1000增强策略ETF,指数型-股票,2025-03-12,1.0941,1.0941,3.15,4.95,4.79,48.96,22.44,7.24,,10.58,9.41,2022-11-23
297,561780,博时中证1000增强策略ETF,指数型-股票,2025-03-12,1.158,1.158,2.61,5.11,3.89,45.33,22.35,,,10.94,15.8,2023-11-02
298,513120,广发中证香港创新药ETF(QDII),指数型-海外股票,2025-03-12,0.8354,0.8354,-0.49,13.34,11.15,27.72,22.26,-8.99,,15.85,-16.47,2022-07-01
299,159755,广发国证新能源车电池ETF,指数型-股票,2025-03-12,0.7217,0.7217,-0.12,3.68,3.83,40.63,22.12,-16.06,-30.57,10.54,-27.83,2021-06-15
300,516200,华安中证全指证券公司ETF,指数型-股票,2025-03-12,1.0731,1.0731,0.84,-1.35,-10.66,38.38,22.08,23.77,15.94,-3.96,7.31,2021-03-09
301,512570,易方达中证全指证券公司ETF,指数型-股票,2025-03-12,1.1192,1.1192,0.87,-1.21,-10.56,37.51,22.0,25.87,18.43,-3.82,11.92,2017-07-27
302,512560,易方达中证军工ETF,指数型-股票,2025-03-12,0.6682,1.3364,5.1,5.83,-0.06,35.9,22.0,-1.66,-2.41,5.38,33.6,2017-07-14
303,159677,银华中证1000增强策略ETF,指数型-股票,2025-03-12,1.1092,1.1092,2.61,4.27,1.37,44.35,21.92,5.66,,9.15,10.92,2022-11-24
304,159842,银华中证全指证券公司ETF,指数型-股票,2025-03-12,1.0616,1.0616,0.86,-1.35,-10.53,37.46,21.87,23.96,16.68,-3.84,6.16,2021-03-03
305,159633,易方达中证1000ETF,指数型-股票,2025-03-12,2.6883,0.955,2.66,4.46,1.27,47.01,21.87,-0.51,,10.27,-4.5,2022-07-28
306,516980,华富中证证券公司先锋策略ETF,指数型-股票,2025-03-12,1.096,1.096,1.02,-1.0,-10.14,38.79,21.86,24.99,16.24,-3.31,9.6,2021-06-15
307,159709,工银瑞信深证物联网50ETF,指数型-股票,2025-03-12,0.9644,0.9644,1.35,0.88,6.01,47.55,21.84,23.18,13.11,7.85,-3.57,2021-06-18
308,560090,汇添富中证全指证券公司ETF,指数型-股票,2025-03-12,1.2044,1.2044,0.85,-1.39,-10.7,38.1,21.77,23.52,,-4.02,20.44,2023-02-27
309,159848,国联安中证全指证券公司ETF,指数型-股票,2025-03-12,0.8938,1.1078,0.82,-1.37,-10.61,37.57,21.75,23.27,15.81,-3.93,10.78,2021-02-09
310,512810,华宝中证军工ETF,指数型-股票,2025-03-12,1.2631,1.2631,5.02,5.68,-0.05,35.18,21.72,-1.26,-2.45,5.22,26.27,2016-08-05
311,516050,工银中证科技龙头ETF,指数型-股票,2025-03-12,0.727,0.727,0.73,-1.26,4.86,47.34,21.71,14.34,-2.19,5.96,-27.3,2021-01-21
312,159996,国泰中证全指家电ETF,指数型-股票,2025-03-12,1.388,1.388,1.03,-0.44,0.58,32.44,21.69,29.36,36.29,4.13,38.8,2020-02-27
313,159767,兴银国证新能源车电池ETF,指数型-股票,2025-03-12,0.5886,0.5886,-0.1,3.61,3.65,39.78,21.49,-15.39,-28.65,10.41,-41.14,2021-08-06
314,560010,广发中证1000ETF,指数型-股票,2025-03-12,2.6713,0.9428,2.65,4.49,1.22,46.94,21.37,-1.41,,10.23,-5.72,2022-07-28
315,159507,广发国证通信ETF,指数型-股票,2025-03-12,1.1299,1.1299,0.84,-1.77,1.82,37.49,21.35,,,2.06,12.99,2023-06-08
316,516010,国泰中证动漫游戏ETF,指数型-股票,2025-03-12,1.2267,1.2267,3.33,0.47,7.03,61.68,21.24,35.89,43.21,23.37,22.67,2021-02-25
317,159695,嘉实国证通信ETF,指数型-股票,2025-03-12,1.2356,1.2356,0.79,-1.84,1.58,36.86,21.23,,,1.96,23.56,2023-04-27
318,159869,华夏中证动漫游戏ETF,指数型-股票,2025-03-12,1.2363,1.2363,3.34,0.44,6.92,61.69,21.22,36.46,43.97,23.37,23.63,2021-02-25
319,517300,国寿安保中证沪港深300ETF,指数型-股票,2025-03-12,0.802,0.802,0.5,2.66,2.9,28.51,21.2,12.86,8.7,4.66,-19.8,2021-02-04
320,159845,华夏中证1000ETF,指数型-股票,2025-03-12,2.6752,1.109,2.64,4.48,1.24,46.92,20.9,-1.63,-4.12,10.22,10.9,2021-03-18
321,159775,建信国证新能源车电池ETF,指数型-股票,2025-03-12,0.605,0.605,-0.15,3.58,3.51,39.27,20.85,-16.9,-31.55,10.26,-39.46,2022-01-07
322,512100,南方中证1000ETF,指数型-股票,2025-03-12,2.6273,0.9739,2.66,4.5,1.27,46.88,20.81,-1.63,-3.97,10.26,-2.42,2016-09-29
323,159629,富国中证1000ETF,指数型-股票,2025-03-12,2.6671,0.939,2.65,4.48,1.21,46.75,20.81,-1.45,,10.22,-6.1,2022-07-27
